_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-40.61043091701412,WP2261,M1,1,0,WikiPathways,27,Glioblastoma signaling pathways,,-40.61043091701412,32.07193479801559,31.75868292953175,30169,83,374,33,8.823529411764707,1.466650910329575,207|472|595|672|675|1017|1019|1027|1029|1956|2033|2064|2065|2260|2263|2885|3667|3845|4194|4763|5170|5290|5291|5295|5296|5335|5594|5728|5925|6416|6714|7157|10000,AKT1|ATM|CCND1|BRCA1|BRCA2|CDK2|CDK4|CDKN1B|CDKN2A|EGFR|EP300|ERBB2|ERBB3|FGFR1|FGFR2|GRB2|IRS1|KRAS|MDM4|NF1|PDPK1|PIK3CA|PIK3CB|PIK3R1|PIK3R2|PLCG1|MAPK1|PTEN|RB1|MAP2K4|SRC|TP53|AKT3,-36.035716896259856,0,1.0,1.0,1.0,-40.61043091701412,47.055035650623886,
1,-38.59331380513775,hsa05200,M1,1,0,KEGG Pathway,24,Pathways in cancer,,-38.59331380513775,9.114776881476782,21.136679534581692,30169,531,374,60,16.0427807486631,1.8977239820576026,25|207|367|595|596|675|841|998|999|1017|1019|1027|1029|1286|1287|1387|1499|1950|1956|2033|2064|2099|2248|2249|2260|2263|2353|2885|2950|3479|3569|3576|3717|3725|3845|4149|4292|4790|4851|4853|5290|5291|5295|5296|5335|5594|5599|5728|5879|5880|5881|5888|5925|5970|6774|7040|7157|7422|8503|10000,ABL1|AKT1|AR|CCND1|BCL2|BRCA2|CASP8|CDC42|CDH1|CDK2|CDK4|CDKN1B|CDKN2A|COL4A4|COL4A5|CREBBP|CTNNB1|EGF|EGFR|EP300|ERBB2|ESR1|FGF3|FGF4|FGFR1|FGFR2|FOS|GRB2|GSTP1|IGF1|IL6|CXCL8|JAK2|JUN|KRAS|MAX|MLH1|NFKB1|NOTCH1|NOTCH2|PIK3CA|PIK3CB|PIK3R1|PIK3R2|PLCG1|MAPK1|MAPK8|PTEN|RAC1|RAC2|RAC3|RAD51|RB1|RELA|STAT3|TGFB1|TP53|VEGFA|PIK3R3|AKT3,-34.319629780047464,0,1.0,0.0,0.0,-40.61043091701412,47.055035650623886,
1,-36.26570813040615,hsa05215,M1,1,0,KEGG Pathway,24,Prostate cancer,,-36.26570813040615,26.611389823033246,28.305786273701557,30169,97,374,32,8.556149732620321,1.4463741084302737,207|367|595|596|1017|1027|1387|1499|1950|1956|2033|2064|2260|2263|2885|2950|3479|3630|3845|4790|5170|5290|5291|5295|5296|5594|5728|5925|5970|7157|8503|10000,AKT1|AR|CCND1|BCL2|CDK2|CDKN1B|CREBBP|CTNNB1|EGF|EGFR|EP300|ERBB2|FGFR1|FGFR2|GRB2|GSTP1|IGF1|INS|KRAS|NFKB1|PDPK1|PIK3CA|PIK3CB|PIK3R1|PIK3R2|MAPK1|PTEN|RB1|RELA|TP53|PIK3R3|AKT3,-32.16811536437155,0,1.0,0.0,0.0,-40.61043091701412,47.055035650623886,
1,-36.09883842047884,hsa01522,M1,1,0,KEGG Pathway,24,Endocrine resistance,,-36.09883842047884,26.33984502892066,28.15013117808185,30169,98,374,32,8.556149732620321,1.4463741084302737,207|595|596|1019|1027|1029|1432|1565|1956|2064|2099|2353|2885|3479|3725|3845|4851|4853|5290|5291|5295|5296|5469|5594|5599|5925|6714|7157|8503|9611|10000|10498,AKT1|CCND1|BCL2|CDK4|CDKN1B|CDKN2A|MAPK14|CYP2D6|EGFR|ERBB2|ESR1|FOS|GRB2|IGF1|JUN|KRAS|NOTCH1|NOTCH2|PIK3CA|PIK3CB|PIK3R1|PIK3R2|MED1|MAPK1|MAPK8|RB1|SRC|TP53|PIK3R3|NCOR1|AKT3|CARM1,-32.12618439105254,0,1.0,0.0,0.0,-40.61043091701412,47.055035650623886,
1,-35.083050666680926,hsa05212,M1,1,0,KEGG Pathway,24,Pancreatic cancer,,-35.083050666680926,30.78036166619758,29.123353868020505,30169,76,374,29,7.754010695187166,1.3829330100603372,207|595|675|998|1019|1029|1950|1956|2064|3845|4790|5290|5291|5295|5296|5594|5599|5879|5880|5881|5888|5925|5970|6774|7040|7157|7422|8503|10000,AKT1|CCND1|BRCA2|CDC42|CDK4|CDKN2A|EGF|EGFR|ERBB2|KRAS|NFKB1|PIK3CA|PIK3CB|PIK3R1|PIK3R2|MAPK1|MAPK8|RAC1|RAC2|RAC3|RAD51|RB1|RELA|STAT3|TGFB1|TP53|VEGFA|PIK3R3|AKT3,-31.207306650262684,0,1.0,0.0,0.0,-40.61043091701412,47.055035650623886,
1,-34.732638032201244,GO:0008283,M1,1,0,GO Biological Processes,19,cell population proliferation,19_GO:0009987 cellular process,-34.732638032201244,7.280721848520601,18.809497846967968,30169,698,374,63,16.844919786096256,1.9352766912468728,25|207|367|429|582|595|596|675|1027|1499|1747|1908|1950|1956|2064|2067|2068|2099|2138|2249|2263|2290|2303|2353|2534|2625|2950|3251|3479|3569|3725|3736|3845|3981|4204|4361|4683|4763|4771|4851|4853|5291|5308|5469|5594|5728|5880|5925|6663|6714|6774|6899|7157|10002|10413|10468|26354|54894|60675|79621|79728|147912|170302,ABL1|AKT1|AR|ASCL1|BBS1|CCND1|BCL2|BRCA2|CDKN1B|CTNNB1|DLX3|EDN3|EGF|EGFR|ERBB2|ERCC1|ERCC2|ESR1|EYA1|FGF4|FGFR2|FOXG1|FOXC2|FOS|FYN|GATA3|GSTP1|HPRT1|IGF1|IL6|JUN|KCNA1|KRAS|LIG4|MECP2|MRE11|NBN|NF1|NF2|NOTCH1|NOTCH2|PIK3CB|PITX2|MED1|MAPK1|PTEN|RAC2|RB1|SOX10|SRC|STAT3|TBX1|TP53|NR2E3|YAP1|FST|GNL3|RNF43|PROK2|RNASEH2B|PALB2|SIX5|ARX,-30.936075261830627,0,2.0,1.0,1.0,-34.732638032201244,10.181117283630135,
1,-34.10530086153053,WP710,M1,1,0,WikiPathways,27,DNA damage response (only ATM dependent),,-34.10530086153053,23.254998313821844,26.317606008503077,30169,111,374,32,8.556149732620321,1.4463741084302737,25|207|472|595|596|998|1027|1029|1499|2064|2885|3146|3667|3725|3845|4214|4790|5290|5291|5295|5296|5594|5599|5728|5879|5880|5881|6648|7040|7157|8503|10000,ABL1|AKT1|ATM|CCND1|BCL2|CDC42|CDKN1B|CDKN2A|CTNNB1|ERBB2|GRB2|HMGB1|IRS1|JUN|KRAS|MAP3K1|NFKB1|PIK3CA|PIK3CB|PIK3R1|PIK3R2|MAPK1|MAPK8|PTEN|RAC1|RAC2|RAC3|SOD2|TGFB1|TP53|PIK3R3|AKT3,-30.375684880790526,0,1.0,0.0,0.0,-40.61043091701412,47.055035650623886,
1,-33.54912481762602,WP4659,M1,1,0,WikiPathways,27,Gastrin signaling pathway,,-33.54912481762602,22.44612880725413,25.815708890746482,30169,115,374,32,8.556149732620321,1.4463741084302737,207|595|998|999|1027|1029|1432|1499|1956|2353|2534|2885|3576|3667|3717|3725|3845|4790|5054|5290|5295|5296|5335|5594|5599|5781|5879|5970|6714|6774|7422|8503,AKT1|CCND1|CDC42|CDH1|CDKN1B|CDKN2A|MAPK14|CTNNB1|EGFR|FOS|FYN|GRB2|CXCL8|IRS1|JAK2|JUN|KRAS|NFKB1|SERPINE1|PIK3CA|PIK3R1|PIK3R2|PLCG1|MAPK1|MAPK8|PTPN11|RAC1|RELA|SRC|STAT3|VEGFA|PIK3R3,-29.877500783863706,0,1.0,0.0,0.0,-40.61043091701412,47.055035650623886,
1,-32.71117446964111,WP4263,M1,1,0,WikiPathways,27,Pancreatic adenocarcinoma pathway,,-32.71117446964111,26.284353782370967,26.76364814546406,30169,89,374,29,7.754010695187166,1.3829330100603372,207|595|675|998|1019|1029|1950|1956|2064|3845|4790|5290|5291|5295|5296|5594|5599|5879|5880|5881|5888|5925|5970|6774|7040|7157|7422|8503|10000,AKT1|CCND1|BRCA2|CDC42|CDK4|CDKN2A|EGF|EGFR|ERBB2|KRAS|NFKB1|PIK3CA|PIK3CB|PIK3R1|PIK3R2|MAPK1|MAPK8|RAC1|RAC2|RAC3|RAD51|RB1|RELA|STAT3|TGFB1|TP53|VEGFA|PIK3R3|AKT3,-29.090702958326172,0,1.0,0.0,0.0,-40.61043091701412,47.055035650623886,
1,-32.58333541561627,hsa04933,M1,1,0,KEGG Pathway,24,AGE-RAGE signaling pathway in diabetic complications,,-32.58333541561627,24.199732620320855,26.035196089542463,30169,100,374,30,8.02139037433155,1.4045346098652944,207|595|596|998|1019|1027|1286|1287|1432|3569|3576|3717|3725|3845|4790|5054|5290|5291|5295|5296|5335|5594|5599|5879|5970|6774|7040|7422|8503|10000,AKT1|CCND1|BCL2|CDC42|CDK4|CDKN1B|COL4A4|COL4A5|MAPK14|IL6|CXCL8|JAK2|JUN|KRAS|NFKB1|SERPINE1|PIK3CA|PIK3CB|PIK3R1|PIK3R2|PLCG1|MAPK1|MAPK8|RAC1|RELA|STAT3|TGFB1|VEGFA|PIK3R3|AKT3,-29.008621394862008,0,1.0,0.0,0.0,-40.61043091701412,47.055035650623886,
